,countyCode,prog,countyName,regionCode,regionName,electionType,candTksInfo,seats,allTowns
10,10002,1.0,宜蘭縣,1000204,宜蘭縣第4選舉區,縣市議員,"[{'candNo': 1, 'tks': 4325, 'candVictor': '*', 'tksRate': 24.9, 'name': '黃浴沂', 'party': '國民黨'}, {'candNo': 2, 'tks': 4053, 'candVictor': '*', 'tksRate': 23.34, 'name': '陳俊宇', 'party': '民進黨'}]",2,['員山鄉']
11,10002,1.0,宜蘭縣,1000205,宜蘭縣第5選舉區,縣市議員,"[{'candNo': 1, 'tks': 3305, 'candVictor': ' ', 'tksRate': 25.94, 'name': '陳福山', 'party': '無黨籍'}, {'candNo': 2, 'tks': 5408, 'candVictor': '*', 'tksRate': 42.44, 'name': '黃建勇', 'party': '國民黨'}]",2,['壯圍鄉']
12,10002,1.0,宜蘭縣,1000206,宜蘭縣第6選舉區,縣市議員,"[{'candNo': 1, 'tks': 3141, 'candVictor': ' ', 'tksRate': 9.01, 'name': '陳鴻禧', 'party': '國民黨'}, {'candNo': 2, 'tks': 3303, 'candVictor': '*', 'tksRate': 9.48, 'name': '謝家倫', 'party': '民進黨'}, {'candNo': 3, 'tks': 3219, 'candVictor': ' ', 'tksRate': 9.24, 'name': '呂惠卿', 'party': '民進黨'}, {'candNo': 4, 'tks': 3180, 'candVictor': ' ', 'tksRate': 9.13, 'name': '楊坊翔', 'party': '時代力量'}, {'candNo': 5, 'tks': 2643, 'candVictor': ' ', 'tksRate': 7.59, 'name': '劉添梧', 'party': '民進黨'}, {'candNo': 6, 'tks': 3473, 'candVictor': '*', 'tksRate': 9.97, 'name': '林意評', 'party': '台灣基進'}, {'candNo': 7, 'tks': 3337, 'candVictor': '*', 'tksRate': 9.58, 'name': '陳漢鍾', 'party': '無黨籍'}, {'candNo': 8, 'tks': 3289, 'candVictor': '*', 'tksRate': 9.44, 'name': '謝志得', 'party': '台灣民眾黨'}, {'candNo': 9, 'tks': 3303, 'candVictor': '*', 'tksRate': 9.48, 'name': '黃琤婷', 'party': '國民黨'}]",5,['羅東鎮']
13,10002,1.0,宜蘭縣,1000207,宜蘭縣第7選舉區,縣市議員,"[{'candNo': 1, 'tks': 2905, 'candVictor': ' ', 'tksRate': 12.9, 'name': '林義剛', 'party': '國民黨'}, {'candNo': 2, 'tks': 2845, 'candVictor': ' ', 'tksRate': 12.64, 'name': '簡松樹', 'party': '民進黨'}, {'candNo': 3, 'tks': 3980, 'candVictor': '*', 'tksRate': 17.68, 'name': '張明華', 'party': '民進黨'}, {'candNo': 4, 'tks': 2911, 'candVictor': ' ', 'tksRate': 12.93, 'name': '沈信雄', 'party': '無黨籍'}]",3,['五結鄉']
14,10002,1.0,宜蘭縣,1000208,宜蘭縣第8選舉區,縣市議員,"[{'candNo': 1, 'tks': 4177, 'candVictor': '*', 'tksRate': 13.74, 'name': '楊弘旻', 'party': '國民黨'}, {'candNo': 2, 'tks': 4090, 'candVictor': '-', 'tksRate': 13.46, 'name': '江汶賢', 'party': '民進黨'}, {'candNo': 3, 'tks': 3803, 'candVictor': '!', 'tksRate': 12.51, 'name': '張芷珊', 'party': '無黨籍'}, {'candNo': 4, 'tks': 3790, 'candVictor': ' ', 'tksRate': 12.47, 'name': '邱素梅', 'party': '無黨籍'}, {'candNo': 5, 'tks': 4263, 'candVictor': '*', 'tksRate': 14.03, 'name': '林佩螢', 'party': '民進黨'}, {'candNo': 6, 'tks': 3350, 'candVictor': ' ', 'tksRate': 11.02, 'name': '謝燦輝', 'party': '民進黨'}]",4,['冬山鄉']
15,10002,1.0,宜蘭縣,1000209,宜蘭縣第9選舉區,縣市議員,"[{'candNo': 1, 'tks': 6140, 'candVictor': ' ', 'tksRate': 45.69, 'name': '江信賢', 'party': '無黨籍'}, {'candNo': 2, 'tks': 7297, 'candVictor': '*', 'tksRate': 54.31, 'name': '陳文昌', 'party': '民進黨'}]",1,"['三星鄉', '大同鄉']"
16,10002,1.0,宜蘭縣,1000210,宜蘭縣第10選舉區,縣市議員,"[{'candNo': 1, 'tks': 4533, 'candVictor': ' ', 'tksRate': 20.03, 'name': '陳玉萍', 'party': '無黨籍'}, {'candNo': 2, 'tks': 4665, 'candVictor': '*', 'tksRate': 20.62, 'name': '謝正信', 'party': '民進黨'}, {'candNo': 3, 'tks': 3362, 'candVictor': ' ', 'tksRate': 14.86, 'name': '李茂豐', 'party': '國民黨'}, {'candNo': 4, 'tks': 5305, 'candVictor': '*', 'tksRate': 23.45, 'name': '陳金麟', 'party': '國民黨'}]",3,"['蘇澳鎮', '南澳鄉']"
17,10004,1.0,新竹縣,1000401,新竹縣第1選舉區,縣市議員,"[{'candNo': 1, 'tks': 3978, 'candVictor': ' ', 'tksRate': 4.03, 'name': '鄭福強', 'party': '無黨籍'}, {'candNo': 2, 'tks': 3306, 'candVictor': ' ', 'tksRate': 3.35, 'name': '鄭美琴', 'party': '無黨籍'}, {'candNo': 3, 'tks': 3168, 'candVictor': ' ', 'tksRate': 3.21, 'name': '陳文得', 'party': '無黨籍'}, {'candNo': 4, 'tks': 4148, 'candVictor': '*', 'tksRate': 4.21, 'name': '連郁婷', 'party': '時代力量'}, {'candNo': 5, 'tks': 3903, 'candVictor': ' ', 'tksRate': 3.96, 'name': '陳凱榮', 'party': '國民黨'}, {'candNo': 6, 'tks': 3769, 'candVictor': ' ', 'tksRate': 3.82, 'name': '陳立基', 'party': '台灣民眾黨'}, {'candNo': 7, 'tks': 4495, 'candVictor': '*', 'tksRate': 4.56, 'name': '林祺軒', 'party': '無黨籍'}, {'candNo': 8, 'tks': 3492, 'candVictor': ' ', 'tksRate': 3.54, 'name': '朱健銘', 'party': '無黨籍'}, {'candNo': 9, 'tks': 4038, 'candVictor': ' ', 'tksRate': 4.09, 'name': '邱靖雅', 'party': '無黨籍'}, {'candNo': 10, 'tks': 2942, 'candVictor': ' ', 'tksRate': 2.98, 'name': '歐陽霆', 'party': '民進黨'}, {'candNo': 11, 'tks': 4398, 'candVictor': '*', 'tksRate': 4.46, 'name': '林碩彥', 'party': '台灣民眾黨'}, {'candNo': 12, 'tks': 2871, 'candVictor': ' ', 'tksRate': 2.91, 'name': '許育綸', 'party': '勞動黨'}, {'candNo': 13, 'tks': 4317, 'candVictor': '*', 'tksRate': 4.38, 'name': '范植華', 'party': '無黨籍'}, {'candNo': 14, 'tks': 4095, 'candVictor': '*', 'tksRate': 4.15, 'name': '杜文中', 'party': '國民黨'}, {'candNo': 15, 'tks': 3955, 'candVictor': ' ', 'tksRate': 4.01, 'name': '王炳漢', 'party': '國民黨'}, {'candNo': 16, 'tks': 3624, 'candVictor': ' ', 'tksRate': 3.67, 'name': '吳旭智', 'party': '國民黨'}, {'candNo': 17, 'tks': 4388, 'candVictor': '*', 'tksRate': 4.45, 'name': '張珈源', 'party': '民進黨'}, {'candNo': 18, 'tks': 4307, 'candVictor': '*', 'tksRate': 4.37, 'name': '林增堂', 'party': '國民黨'}, {'candNo': 19, 'tks': 4957, 'candVictor': '*', 'tksRate': 5.03, 'name': '蔡志環', 'party': '國民黨'}, {'candNo': 20, 'tks': 3164, 'candVictor': ' ', 'tksRate': 3.21, 'name': '陳冠宇', 'party': '綠黨'}, {'candNo': 21, 'tks': 4846, 'candVictor': '*', 'tksRate': 4.91, 'name': '蔡蕥鍹', 'party': '民進黨'}, {'candNo': 22, 'tks': 4068, 'candVictor': '*', 'tksRate': 4.12, 'name': '林禹佑', 'party': '無黨籍'}]",12,['竹北市']
18,10004,1.0,新竹縣,1000402,新竹縣第2選舉區,縣市議員,"[{'candNo': 1, 'tks': 4257, 'candVictor': '*', 'tksRate': 10.41, 'name': '張燦堂', 'party': '無黨籍'}, {'candNo': 2, 'tks': 4463, 'candVictor': '*', 'tksRate': 10.91, 'name': '羅美文', 'party': '勞動黨'}, {'candNo': 3, 'tks': 3084, 'candVictor': ' ', 'tksRate': 7.54, 'name': '甄克堅', 'party': '無黨籍'}, {'candNo': 4, 'tks': 4683, 'candVictor': '*', 'tksRate': 11.45, 'name': '陳德木', 'party': '國民黨'}, {'candNo': 5, 'tks': 3522, 'candVictor': ' ', 'tksRate': 8.61, 'name': '何建樺', 'party': '民進黨'}, {'candNo': 6, 'tks': 4461, 'candVictor': '*', 'tksRate': 10.91, 'name': '陳栢誠', 'party': '國民黨'}, {'candNo': 7, 'tks': 4717, 'candVictor': '*', 'tksRate': 11.53, 'name': '齊占翔', 'party': '國民黨'}, {'candNo': 8, 'tks': 3977, 'candVictor': ' ', 'tksRate': 9.72, 'name': '吳菊花', 'party': '國民黨'}, {'candNo': 9, 'tks': 3878, 'candVictor': ' ', 'tksRate': 9.48, 'name': '萬正英', 'party': '國民黨'}, {'candNo': 10, 'tks': 3859, 'candVictor': ' ', 'tksRate': 9.43, 'name': '范振龍', 'party': '國民黨'}]",5,['湖口鄉']
19,10004,1.0,新竹縣,1000403,新竹縣第3選舉區,縣市議員,"[{'candNo': 1, 'tks': 7656, 'candVictor': ' ', 'tksRate': 23.76, 'name': '張鎮榮', 'party': '國民黨'}, {'candNo': 2, 'tks': 8597, 'candVictor': '*', 'tksRate': 26.69, 'name': '何智達', 'party': '無黨籍'}, {'candNo': 3, 'tks': 7802, 'candVictor': '*', 'tksRate': 24.22, 'name': '吳傳地', 'party': '民進黨'}, {'candNo': 4, 'tks': 8161, 'candVictor': '*', 'tksRate': 25.33, 'name': '徐勝凌', 'party': '台灣民眾黨'}]",3,['新豐鄉']
20,10004,1.0,新竹縣,1000404,新竹縣第4選舉區,縣市議員,"[{'candNo': 1, 'tks': 6134, 'candVictor': '*', 'tksRate': 42.02, 'name': '羅仕琦', 'party': '國民黨'}, {'candNo': 2, 'tks': 4056, 'candVictor': ' ', 'tksRate': 27.79, 'name': '吳發勝', 'party': '民進黨'}, {'candNo': 3, 'tks': 4407, 'candVictor': '*', 'tksRate': 30.19, 'name': '徐瑜新', 'party': '國民黨'}]",2,['關西鎮']
21,10004,1.0,新竹縣,1000405,新竹縣第5選舉區,縣市議員,"[{'candNo': 1, 'tks': 2861, 'candVictor': '*', 'tksRate': 16.09, 'name': '林保祿', 'party': '無黨籍'}, {'candNo': 2, 'tks': 1840, 'candVictor': ' ', 'tksRate': 10.35, 'name': '范曰富', 'party': '國民黨'}, {'candNo': 3, 'tks': 1979, 'candVictor': ' ', 'tksRate': 11.13, 'name': '呂宛庭', 'party': '無黨籍'}]",2,['新埔鎮']
22,10004,1.0,新竹縣,1000406,新竹縣第6選舉區,縣市議員,"[{'candNo': 1, 'tks': 3842, 'candVictor': '*', 'tksRate': 55.26, 'name': '張永奎', 'party': '無黨籍'}, {'candNo': 2, 'tks': 3110, 'candVictor': ' ', 'tksRate': 44.74, 'name': '張良印', 'party': '國民黨'}]",1,"['橫山鄉', '尖石鄉']"
23,10004,1.0,新竹縣,1000407,新竹縣第7選舉區,縣市議員,"[{'candNo': 1, 'tks': 4669, 'candVictor': ' ', 'tksRate': 48.81, 'name': '劉代洋', 'party': '國民黨'}, {'candNo': 2, 'tks': 4896, 'candVictor': '*', 'tksRate': 51.19, 'name': '鄭昱芸', 'party': '無黨籍'}]",1,['芎林鄉']
24,10004,1.0,新竹縣,1000408,新竹縣第8選舉區,縣市議員,"[{'candNo': 1, 'tks': 4601, 'candVictor': '*', 'tksRate': 9.33, 'name': '林子丞', 'party': '台灣民眾黨'}, {'candNo': 2, 'tks': 2605, 'candVictor': ' ', 'tksRate': 5.28, 'name': '黃豪杰', 'party': '國民黨'}, {'candNo': 3, 'tks': 3828, 'candVictor': '*', 'tksRate': 7.76, 'name': '范振港', 'party': '無黨籍'}, {'candNo': 4, 'tks': 3067, 'candVictor': ' ', 'tksRate': 6.22, 'name': '馮守亮', 'party': '國民黨'}, {'candNo': 5, 'tks': 4163, 'candVictor': '*', 'tksRate': 8.44, 'name': '鄭正', 'party': '無黨籍'}, {'candNo': 6, 'tks': 3636, 'candVictor': ' ', 'tksRate': 7.37, 'name': '彭余美玲', 'party': '國民黨'}, {'candNo': 7, 'tks': 3714, 'candVictor': ' ', 'tksRate': 7.53, 'name': '余筱菁', 'party': '綠黨'}, {'candNo': 8, 'tks': 3290, 'candVictor': ' ', 'tksRate': 6.67, 'name': '劉興藻', 'party': '無黨籍'}, {'candNo': 9, 'tks': 4278, 'candVictor': '*', 'tksRate': 8.67, 'name': '彭致豪', 'party': '時代力量'}, {'candNo': 10, 'tks': 3392, 'candVictor': ' ', 'tksRate': 6.88, 'name': '陳晏華', 'party': '無黨籍'}, {'candNo': 11, 'tks': 3696, 'candVictor': ' ', 'tksRate': 7.49, 'name': '楊昌德', 'party': '民進黨'}, {'candNo': 12, 'tks': 4258, 'candVictor': '*', 'tksRate': 8.63, 'name': '林若宸', 'party': '無黨籍'}, {'candNo': 13, 'tks': 4808, 'candVictor': '*', 'tksRate': 9.75, 'name': '鄭朝鐘', 'party': '無黨籍'}]",6,"['竹東鎮', '五峰鄉']"
25,10004,1.0,新竹縣,1000409,新竹縣第9選舉區,縣市議員,"[{'candNo': 1, 'tks': 2374, 'candVictor': '*', 'tksRate': 28.35, 'name': '邱坤桶', 'party': '國民黨'}]",1,['寶山鄉']
26,10004,1.0,新竹縣,1000410,新竹縣第10選舉區,縣市議員,"[{'candNo': 1, 'tks': 3965, 'candVictor': ' ', 'tksRate': 48.29, 'name': '湯惠鈴', 'party': '無黨籍'}, {'candNo': 2, 'tks': 4246, 'candVictor': '*', 'tksRate': 51.71, 'name': '范文鴻', 'party': '民進黨'}]",1,"['北埔鄉', '峨眉鄉']"
27,10005,1.0,苗栗縣,1000501,苗栗縣第1選舉區,縣市議員,"[{'candNo': 1, 'tks': 5305, 'candVictor': '*', 'tksRate': 7.82, 'name': '楊明燁', 'party': '無黨籍'}, {'candNo': 2, 'tks': 3528, 'candVictor': ' ', 'tksRate': 5.2, 'name': '謝庚霖', 'party': '國民黨'}, {'candNo': 3, 'tks': 5267, 'candVictor': '*', 'tksRate': 7.76, 'name': '黃萬盛', 'party': '無黨籍'}, {'candNo': 4, 'tks': 4052, 'candVictor': ' ', 'tksRate': 5.97, 'name': '余文忠', 'party': '無黨籍'}, {'candNo': 5, 'tks': 4242, 'candVictor': '*', 'tksRate': 6.25, 'name': '楊喬安', 'party': '台灣民眾黨'}, {'candNo': 6, 'tks': 5027, 'candVictor': '*', 'tksRate': 7.41, 'name': '鄭碧玉', 'party': '國民黨'}, {'candNo': 7, 'tks': 5857, 'candVictor': '*', 'tksRate': 8.63, 'name': '徐筱菁', 'party': '民進黨'}, {'candNo': 8, 'tks': 3430, 'candVictor': ' ', 'tksRate': 5.06, 'name': '莊智凱', 'party': '無黨籍'}, {'candNo': 9, 'tks': 4021, 'candVictor': ' ', 'tksRate': 5.93, 'name': '羅以明', 'party': '無黨籍'}, {'candNo': 10, 'tks': 4055, 'candVictor': '!', 'tksRate': 5.98, 'name': '林志豪', 'party': '時代力量'}, {'candNo': 11, 'tks': 5136, 'candVictor': '*', 'tksRate': 7.57, 'name': '孫素娥', 'party': '無黨籍'}, {'candNo': 12, 'tks': 5773, 'candVictor': '*', 'tksRate': 8.51, 'name': '張志宇', 'party': '無黨籍'}, {'candNo': 13, 'tks': 3706, 'candVictor': ' ', 'tksRate': 5.46, 'name': '許櫻萍', 'party': '民進黨'}, {'candNo': 14, 'tks': 4301, 'candVictor': '*', 'tksRate': 6.34, 'name': '湯維岳', 'party': '無黨籍'}, {'candNo': 15, 'tks': 4140, 'candVictor': '-', 'tksRate': 6.1, 'name': '曾美露', 'party': '國民黨'}]",9,"['苗栗市', '公館鄉', '頭屋鄉']"
28,10005,1.0,苗栗縣,1000502,苗栗縣第2選舉區,縣市議員,"[{'candNo': 1, 'tks': 6044, 'candVictor': '*', 'tksRate': 28.86, 'name': '羅貴星', 'party': '民進黨'}, {'candNo': 2, 'tks': 4304, 'candVictor': ' ', 'tksRate': 20.55, 'name': '黃芳椿', 'party': '國民黨'}, {'candNo': 3, 'tks': 5367, 'candVictor': '*', 'tksRate': 25.63, 'name': '吳昌運', 'party': '無黨籍'}, {'candNo': 4, 'tks': 5225, 'candVictor': '*', 'tksRate': 24.95, 'name': '徐文達', 'party': '國民黨'}]",3,"['銅鑼鄉', '三義鄉', '西湖鄉']"
29,10005,1.0,苗栗縣,1000503,苗栗縣第3選舉區,縣市議員,"[{'candNo': 1, 'tks': 3469, 'candVictor': ' ', 'tksRate': 8.53, 'name': '孟文源', 'party': '無黨籍'}, {'candNo': 2, 'tks': 3752, 'candVictor': ' ', 'tksRate': 9.23, 'name': '翁杰', 'party': '民進黨'}, {'candNo': 3, 'tks': 4618, 'candVictor': '*', 'tksRate': 11.36, 'name': '周玉滿', 'party': '無黨籍'}, {'candNo': 4, 'tks': 4341, 'candVictor': '*', 'tksRate': 10.67, 'name': '劉寶鈴', 'party': '無黨籍'}, {'candNo': 5, 'tks': 3694, 'candVictor': ' ', 'tksRate': 9.08, 'name': '徐永煌', 'party': '無黨籍'}, {'candNo': 6, 'tks': 3578, 'candVictor': ' ', 'tksRate': 8.8, 'name': '傅郁揚', 'party': '台灣民眾黨'}, {'candNo': 7, 'tks': 4660, 'candVictor': '*', 'tksRate': 11.46, 'name': '陳品安', 'party': '無黨籍'}, {'candNo': 8, 'tks': 4259, 'candVictor': '*', 'tksRate': 10.47, 'name': '張顧礫', 'party': '無黨籍'}]",5,"['通霄鎮', '苑裡鎮']"
